Date,VALE3,ELET3,BBAS3,B3SA3,ABEV3,ITUB4,BBDC4,WEGE3,PETR3,RENT3
2023-02-14,85.22830200195312,35.06163024902344,39.49550247192383,11.2437162399292,13.0,25.755054473876953,12.995058059692383,38.029300689697266,25.56586265563965,54.795799255371094
2023-02-15,87.08747100830078,35.618003845214844,39.856712341308594,11.391142845153809,13.229999542236328,26.135814666748047,13.505439758300781,38.54481506347656,25.676464080810547,55.9419059753418
2023-02-16,87.27339172363281,35.73722839355469,40.30347442626953,11.174917221069336,13.079999923706055,26.331077575683594,13.760629653930664,38.4456787109375,25.65093994140625,57.3942985534668
2023-02-17,86.13831329345703,35.66768264770508,40.70270538330078,10.840750694274902,13.199999809265137,26.243206024169922,13.682108879089355,39.27843475341797,25.25958251953125,56.99909210205078
2023-02-22,85.48271179199219,34.554927825927734,39.69511795043945,10.663840293884277,13.210000038146973,25.755054473876953,13.544699668884277,38.28764724731445,24.630008697509766,54.87484359741211
2023-02-23,85.0815200805664,34.445640563964844,40.018306732177734,10.595040321350098,13.25,25.852684020996094,13.485809326171875,39.12519073486328,25.54884910583496,54.667354583740234
2023-02-24,83.21257019042969,34.28667449951172,39.24930191040039,10.24664306640625,13.319999694824219,25.061872482299805,13.053950309753418,38.746299743652344,25.165996551513672,54.341304779052734
2023-02-27,83.21257019042969,34.38602828979492,38.71602249145508,10.414297103881836,13.399999618530273,24.73969078063965,12.926355361938477,38.68647384643555,25.58287811279297,54.1634635925293
2023-02-28,83.4865493774414,34.097904205322266,39.074771881103516,10.404435157775879,13.390000343322754,24.827558517456055,12.838018417358398,39.0454216003418,24.45985221862793,54.825443267822266
2023-03-01,87.28317260742188,33.30308151245117,37.81429672241211,10.355125427246094,13.470000267028809,24.42469596862793,12.739869117736816,39.2647819519043,24.45985221862793,52.681427001953125
2023-03-02,87.08747100830078,32.955345153808594,36.29202651977539,10.443883895874023,13.130000114440918,23.623567581176758,12.571762084960938,39.0454216003418,23.787736892700195,52.50358200073242
2023-03-03,87.38102722167969,32.54800033569336,36.699256896972656,10.374849319458008,13.109999656677246,23.652877807617188,12.6405668258667,38.72636032104492,24.65553092956543,52.315860748291016
2023-03-06,84.29871368408203,32.78644943237305,37.533111572265625,10.808778762817383,13.5,24.19021987915039,13.063230514526367,39.31463623046875,25.021366119384766,52.70119094848633
2023-03-07,83.496337890625,32.07110595703125,38.396053314208984,10.897537231445312,13.430000305175781,24.258609771728516,13.367941856384277,39.47416687011719,24.264175415039062,52.770347595214844
2023-03-08,84.25957489013672,32.855995178222656,38.78389358520508,11.489256858825684,13.619999885559082,24.561473846435547,13.78077507019043,40.04249572753906,24.63851547241211,55.32933044433594
2023-03-09,83.15386199951172,31.872404098510742,37.94034194946289,11.420223236083984,13.600000381469727,24.0925235748291,13.731629371643066,39.74337387084961,24.33223533630371,55.28981018066406
2023-03-10,82.87987518310547,31.614084243774414,37.22283935546875,11.104639053344727,13.510000228881836,23.516098022460938,13.33845329284668,39.424312591552734,24.162078857421875,54.25238800048828
2023-03-13,83.22235870361328,31.683629989624023,36.99013900756836,11.19339656829834,13.609999656677246,23.232770919799805,13.19101333618164,39.673583984375,23.396379470825195,54.08442306518555
2023-03-14,83.9800033569336,32.07110595703125,36.70832443237305,11.282154083251953,13.949999809265137,23.154611587524414,13.112378120422363,40.14220428466797,22.97949981689453,51.881126403808594
2023-03-15,81.44999694824219,33.64088439941406,36.74747085571289,11.380775451660156,14.020000457763672,23.095993041992188,13.2991361618042,39.952762603759766,22.417987823486328,52.26646041870117
2023-03-16,81.75,33.48191833496094,37.1389274597168,11.69636058807373,14.260000228881836,23.477020263671875,13.672651290893555,40.18208694458008,22.332908630371094,55.121849060058594
2023-03-17,82.7300033569336,32.04130172729492,36.50281524658203,11.144086837768555,14.220000267028809,22.802894592285156,13.10254955291748,39.75334548950195,22.426494598388672,53.096397399902344
2023-03-20,83.41000366210938,31.733308792114258,36.297306060791016,11.02574348449707,14.119999885559082,22.86151885986328,12.876473426818848,39.63676834106445,21.89901351928711,52.42454528808594
2023-03-21,82.70999908447266,30.630491256713867,36.72789764404297,11.015880584716797,13.949999809265137,23.33047103881836,12.915791511535645,39.8963508605957,22.383955001831055,51.39366149902344
2023-03-22,81.68000030517578,30.531137466430664,36.815975189208984,10.887674331665039,13.949999809265137,23.193693161010742,12.797839164733887,39.457054138183594,22.188276290893555,51.32456970214844
2023-03-23,79.58000183105469,30.33243179321289,36.41474151611328,10.276228904724121,13.779999732971191,22.617267608642578,12.35551643371582,39.82646560668945,21.754379272460938,49.40977096557617
2023-03-24,78.66999816894531,30.78945541381836,36.78662109375,10.414297103881836,13.890000343322754,22.945343017578125,12.493127822875977,40.44547653198242,21.830949783325195,50.6237907409668
2023-03-27,78.54000091552734,31.693565368652344,36.80619430541992,10.443883895874023,13.930000305175781,23.34061050415039,12.719202041625977,41.124393463134766,22.162752151489258,51.196258544921875
2023-03-28,79.37000274658203,33.273277282714844,37.060630798339844,10.532641410827637,14.59000015258789,23.449308395385742,12.699543952941895,41.304107666015625,22.545602798461914,52.7557373046875
2023-03-29,80.51000213623047,32.975215911865234,37.491233825683594,10.443607330322266,14.8100004196167,23.676589965820312,12.768349647521973,41.66353225708008,22.78382110595703,52.84922409057617
2023-03-30,81.81999969482422,33.680625915527344,38.17626953125,10.711392402648926,14.819999694824219,24.328784942626953,13.15169620513916,41.79332733154297,23.039052963256836,54.739540100097656
2023-03-31,80.29000091552734,33.06463623046875,38.274131774902344,10.265085220336914,14.329999923706055,24.447362899780273,12.945279121398926,40.48541259765625,22.537094116210938,53.1277961730957
2023-04-03,80.30999755859375,32.58774185180664,37.82396697998047,10.493197441101074,14.329999923706055,23.76271629333496,12.620909690856934,39.52694320678711,23.60907554626465,51.83442306518555
2023-04-04,78.04000091552734,33.12424850463867,38.450286865234375,10.741146087646484,14.430000305175781,24.237375259399414,12.905372619628906,39.56687927246094,23.277273178100586,52.91886520385742
2023-04-05,76.88999938964844,32.62748336791992,38.31327819824219,10.7014741897583,14.399999618530273,24.21759796142578,13.013657569885254,38.68828201293945,23.311302185058594,52.54080581665039
2023-04-06,76.75,32.508262634277344,38.186058044433594,10.612213134765625,14.430000305175781,24.138484954833984,12.82662296295166,38.54850387573242,23.039052963256836,51.97370910644531
2023-04-10,78.2300033569336,33.08450698852539,38.205631256103516,10.820489883422852,14.460000038146973,24.39559555053711,12.974282264709473,38.328853607177734,23.651613235473633,51.76477813720703
2023-04-11,82.36000061035156,34.028358459472656,39.086395263671875,11.53458309173584,14.779999732971191,25.186695098876953,13.653511047363281,39.027740478515625,24.689563751220703,56.51046371459961
2023-04-12,80.5999984741211,34.91259765625,41.80698013305664,11.7626953125,14.760000228881836,25.35480499267578,13.584604263305664,39.67670440673828,24.706579208374023,57.2068977355957
2023-04-13,79.51000213623047,34.90266418457031,41.78740692138672,11.643680572509766,14.59000015258789,25.35480499267578,13.594447135925293,39.30729293823242,24.99584197998047,57.65460205078125
2023-04-14,78.80999755859375,34.72383117675781,42.50180435180664,11.871793746948242,14.649999618530273,25.720691680908203,13.574760437011719,38.69826126098633,25.37018394470215,57.13725280761719
2023-04-17,77.87000274658203,33.422306060791016,42.599666595458984,11.92138385772705,14.75,25.671245574951172,13.515695571899414,39.417118072509766,25.48078727722168,57.5849609375
2023-04-18,78.54000091552734,34.21712875366211,42.67795944213867,11.792449951171875,14.630000114440918,25.651472091674805,13.427101135253906,39.207454681396484,26.127376556396484,56.580108642578125
2023-04-19,76.25,33.50178909301758,42.178855895996094,11.494911193847656,14.579999923706055,25.246030807495117,13.18100357055664,39.047706604003906,25.293615341186523,54.570404052734375
2023-04-20,74.66000366210938,33.541526794433594,42.58009338378906,11.564336776733398,14.600000381469727,25.315250396728516,13.2991304397583,40.185890197753906,25.37018394470215,56.23189163208008
2023-04-24,71.95999908447266,34.15752029418945,42.49201583862305,11.6635160446167,14.34000015258789,25.087810516357422,13.190847396850586,40.28573226928711,25.76154136657715,56.21199417114258
2023-04-25,70.0,33.99855422973633,42.10056686401367,11.703187942504883,14.289999961853027,25.315250396728516,13.486165046691895,40.47542953491211,25.62541961669922,55.91352462768555
2023-04-26,70.2699966430664,33.79984664916992,41.7580451965332,11.157700538635254,14.210000038146973,25.05814552307129,13.289286613464355,40.04611587524414,25.25958251953125,56.31148147583008
2023-04-27,71.76000213623047,33.919071197509766,41.80698013305664,11.385812759399414,14.15999984741211,25.503137588500977,13.545228004455566,40.28573226928711,24.58746910095215,57.34618377685547
2023-04-28,72.4000015258789,33.849998474121094,41.94398880004883,11.584173202514648,14.15999984741211,25.63169288635254,13.63382339477539,41.05450439453125,25.19247817993164,57.71429443359375
2023-05-02,69.54000091552734,33.529998779296875,40.94578552246094,11.237044334411621,14.260000228881836,24.639814376831055,13.436944961547852,40.754981994628906,24.068403244018555,55.744388580322266
2023-05-03,69.0,33.130001068115234,40.818565368652344,11.415567398071289,14.579999923706055,24.60023307800293,13.554226875305176,39.83645248413086,23.936161041259766,56.36123275756836
2023-05-04,66.86000061035156,33.72999954223633,41.27851867675781,11.732941627502441,14.630000114440918,24.79814338684082,13.869668960571289,39.237403869628906,24.285661697387695,57.3063850402832
2023-05-05,69.04000091552734,33.959999084472656,42.32564926147461,12.387526512145996,14.489999771118164,25.71842384338379,14.55970287322998,39.15753173828125,25.305831909179688,58.05256271362305
2023-05-08,69.97000122070312,33.380001068115234,42.15928649902344,12.337936401367188,14.510000228881836,26.074665069580078,15.101872444152832,39.13756561279297,25.721454620361328,57.88343048095703
